index,Course,Grade,Section_Grade,Course_Type,Cluster
2629,Marine Science Honors,11,95.21,Science,1
2630,European History AP,11,93.68,Humanities,1
2631,Government and Politics: United States AP,11,93.56,Humanities,1
2632,English Literature and Composition AP,11,90.19,English,0
2633,Spanish IV Honors,11,90.8,Foreign Language,0
2634,Pre-Calculus Honors,11,90.03,Math,0
2635,Biology AP,11,94.18,Science,1
2636,Anatomy and Physiology Honors,11,97.3,Science,1
2637,Psychology AP,11,90.39,Psychology,0
2638,English Language and Composition AP,11,84.28,English,2
2639,Studio Art Drawing AP,11,97.0,Arts,1
2640,Spanish IV,11,92.31,Foreign Language,0
2641,Pre-Calculus Honors,11,82.66,Math,2
2642,Biology AP,11,81.27,Science,2
2643,United States History Honors,11,91.82,Humanities,0
2644,English Literature and Composition AP,11,92.13,English,0
2645,Spanish IV,11,88.94,Foreign Language,0
2646,Pre-Calculus,11,92.81,Math,0
2647,Environmental Science AP,11,89.9,Science,0
2648,Psychology AP,11,89.25,Psychology,0
2649,European History AP,11,91.69,Humanities,0
2650,English Language and Composition AP,11,90.57,English,0
2651,Spanish IV,11,87.95,Foreign Language,0
2652,Pre-Calculus,11,89.55,Math,0
2653,Computer Science Principles AP,11,87.72,Science,0
2654,Anatomy and Physiology Honors,11,89.52,Science,0
2655,Psychology AP,11,85.07,Psychology,2
2656,English Language and Composition AP,11,94.77,English,1
2657,Spanish IV,11,96.59,Foreign Language,1
2658,Calculus BC AP,11,97.65,Math,1
2659,Physics I AP,11,98.0,Science,1
2660,Astronomy Honors,11,97.77,Science,1
2661,Science Research II Advanced,11,95.0,Science,1
2662,Microeconomics AP,11,93.47,Humanities,1
2663,English Literature and Composition AP,11,88.64,English,0
2664,Art History AP,11,92.25,Humanities,0
2665,Music Theory Post-AP II: Instrumental Orchestration,11,99.0,Arts,1
2666,Spanish III,11,93.18,Foreign Language,0
2667,Pre-Calculus,11,89.59,Math,0
2668,Astronomy Honors,11,91.6,Science,0
2669,European History AP,11,91.15,Humanities,0
2670,English Language and Composition AP,11,91.72,English,0
2671,Spanish IV,11,86.69,Foreign Language,0
2672,Pre-Calculus,11,87.15,Math,0
2673,Marine Science Honors,11,94.58,Science,1
2674,European History AP,11,89.61,Humanities,0
2675,English Language and Composition AP,11,88.5,English,0
2676,Studio Art Drawing AP,11,91.0,Arts,0
2677,Art History AP,11,92.24,Humanities,0
2678,Spanish IV,11,86.44,Foreign Language,2
2679,Pre-Calculus,11,83.45,Math,2
2680,Marine Science Honors,11,95.03,Science,1
2681,English Literature and Composition AP,11,96.89,English,1
2682,Talented Writers Program II Honors,11,95.2,English,1
2683,Spanish IV Honors,11,99.35,Foreign Language,1
2684,Calculus AB AP,11,93.1,Math,0
2685,Data Structures Post-AP,11,96.39,Computer Science,1
2686,Biology AP,11,96.78,Science,1
2687,European History AP,11,98.93,Humanities,1
2688,English Literature and Composition AP,11,93.78,English,1
2689,Chinese IV Honors,11,93.04,Foreign Language,0
2690,Environmental Science AP,11,94.3,Science,1
2691,European History AP,11,92.31,Humanities,0
2692,English Literature and Composition AP,11,88.82,English,0
2693,Spanish IV,11,89.74,Foreign Language,0
2694,Pre-Calculus,11,87.7,Math,0
2695,Anatomy and Physiology Honors,11,91.35,Science,0
2696,Psychology AP,11,85.59,Psychology,2
2697,European History AP,11,93.88,Humanities,1
2698,Constitutional Law Honors,11,99.26,Law and Politics,1
2699,English Literature and Composition AP,11,89.99,English,0
2700,Studio Art 3-D Design AP,11,96.83,Arts,1
2701,Art History AP,11,94.43,Humanities,1
2702,Spanish Literature and Culture AP,11,89.57,Foreign Language,0
2703,Latin III Honors,11,96.26,Foreign Language,1
2704,Pre-Calculus,11,87.93,Math,0
2705,Marine Science Honors,11,95.43,Science,1
2706,European History AP,11,96.79,Humanities,1
2707,English Literature and Composition AP,11,96.24,English,1
2708,Studio Art 3-D Design AP,11,96.59,Arts,1
2709,Spanish IV Honors,11,96.74,Foreign Language,1
2710,Calculus AB AP,11,91.9,Math,0
2711,Biology AP,11,93.22,Science,0
2712,European History AP,11,98.57,Humanities,1
2713,English Language and Composition AP,11,92.2,English,0
2714,Studio Art 2-D Design AP,11,95.13,Arts,1
2715,Spanish IV,11,92.25,Foreign Language,0
2716,Pre-Calculus Honors,11,91.07,Math,0
2717,Data Structures Post-AP,11,90.76,Computer Science,0
2718,Biology AP,11,92.5,Science,0
2719,Government and Politics: United States AP,11,92.26,Humanities,0
2720,English Literature and Composition AP,11,95.34,English,1
2721,Studio Art Drawing AP,11,97.0,Arts,1
2722,Spanish IV Honors,11,99.54,Foreign Language,1
2723,Calculus AB AP,11,97.1,Math,1
2724,Data Structures Post-AP,11,98.2,Computer Science,1
2725,Biology AP,11,98.95,Science,1
2726,European History AP,11,98.81,Humanities,1
2727,English Literature and Composition AP,11,86.57,English,2
2728,French IV Honors,11,82.17,Foreign Language,2
2729,Pre-Calculus,11,89.53,Math,0
2730,Anatomy and Physiology Honors,11,92.83,Science,0
2731,World History AP,11,87.35,Humanities,0
2732,English Language and Composition AP,11,86.94,English,0
2733,Studio Art Drawing AP,11,90.52,Arts,0
2734,Spanish IV,11,89.06,Foreign Language,0
2735,Pre-Calculus,11,90.35,Math,0
2736,Anatomy and Physiology Honors,11,83.83,Science,2
2737,Psychology AP,11,86.22,Psychology,2
2738,European History AP,11,86.56,Humanities,2
2739,English Language and Composition AP,11,87.9,English,0
2740,Studio Art 2-D Design AP,11,94.39,Arts,1
2741,Spanish IV,11,83.22,Foreign Language,2
2742,Pre-Calculus,11,75.5,Math,2
2743,Astronomy Honors,11,86.89,Science,0
2744,International Relations Honors,11,87.91,Law and Politics,0
2745,English Language and Composition AP,11,93.78,English,1
2746,Chinese IV Honors,11,90.34,Foreign Language,0
2747,Pre-Calculus Honors,11,83.51,Math,2
2748,Environmental Science AP,11,92.89,Science,0
2749,European History AP,11,93.84,Humanities,1
2750,Government and Politics: United States AP,11,90.27,Humanities,0
2751,English Language and Composition AP,11,92.51,English,0
2752,Latin III Honors,11,85.62,Foreign Language,2
2753,Pre-Calculus,11,76.86,Math,2
2754,Marine Science Honors,11,84.86,Science,2
2755,United States History AP,11,79.75,Humanities,2
2756,Government and Politics: United States AP,11,84.72,Humanities,2
2757,English Literature and Composition AP,11,91.25,English,0
2758,Spanish IV,11,91.54,Foreign Language,0
2759,Pre-Calculus Honors,11,91.47,Math,0
2760,Biology AP,11,92.86,Science,0
2761,Psychology AP,11,94.98,Psychology,1
2762,European History AP,11,95.82,Humanities,1
2763,English Literature and Composition AP,11,91.59,English,0
2764,Spanish III,11,92.64,Foreign Language,0
2765,Calculus I Honors,11,95.62,Math,1
2766,Environmental Science AP,11,90.57,Science,0
2767,Marine Science Honors,11,95.8,Science,1
2768,AP Seminar (Capstone Year 1),11,88.8,Research,0
2769,English Literature and Composition AP,11,91.73,English,0
2770,Studio Art 3-D Design AP,11,99.27,Arts,1
2771,Spanish IV Honors,11,93.19,Foreign Language,0
2772,Pre-Calculus,11,90.55,Math,0
2773,Biology AP,11,84.6,Science,2
2774,Government and Politics: United States AP,11,94.92,Humanities,1
2775,AP Seminar (Capstone Year 1),11,91.12,Research,0
2776,English Literature and Composition AP,11,92.9,English,0
2777,Spanish IV Honors,11,98.43,Foreign Language,1
2778,Calculus BC AP,11,90.1,Math,0
2779,Data Structures Post-AP,11,88.45,Computer Science,0
2780,Chemistry AP,11,90.68,Science,0
2781,Science Research II Advanced,11,93.0,Science,0
2782,Microeconomics AP,11,92.07,Humanities,0
2783,English Literature and Composition AP,11,96.29,English,1
2784,Spanish IV Honors,11,99.07,Foreign Language,1
2785,Calculus AB AP,11,91.9,Math,0
2786,Biology AP,11,98.13,Science,1
2787,Astronomy Honors,11,98.56,Science,1
2788,Science Research II Advanced,11,94.0,Science,1
2789,European History AP,11,97.53,Humanities,1
2790,English Literature and Composition AP,11,88.82,English,0
2791,Studio Art 2-D Design AP,11,95.35,Arts,1
2792,Chinese IV Honors,11,95.16,Foreign Language,1
2793,Calculus AB AP,11,86.31,Math,2
2794,Biology AP,11,80.2,Science,2
2795,Government and Politics: United States AP,11,89.77,Humanities,0
2796,AP Seminar (Capstone Year 1),11,90.9,Research,0
2797,English Literature and Composition AP,11,95.05,English,1
2798,Spanish IV Honors,11,99.57,Foreign Language,1
2799,Calculus BC AP,11,98.83,Math,1
2800,Computer Science A AP,11,98.11,Science,1
2801,Biology AP,11,99.98,Science,1
2802,Organic Chemistry Post-AP,11,98.77,Science,1
2803,Microeconomics AP,11,98.84,Humanities,1
2804,English Literature and Composition AP,11,89.39,English,0
2805,Spanish IV Honors,11,92.89,Foreign Language,0
2806,Calculus AB AP,11,84.26,Math,2
2807,Physics I AP,11,89.78,Science,0
2808,European History AP,11,91.44,Humanities,0
2809,Microeconomics AP,11,92.82,Humanities,0
2810,English Literature and Composition AP,11,97.05,English,1
2811,Spanish IV Honors,11,98.92,Foreign Language,1
2812,Pre-Calculus Honors,11,94.83,Math,1
2813,Environmental Science AP,11,98.73,Science,1
2814,Psychology AP,11,98.49,Psychology,1
2815,European History AP,11,98.66,Humanities,1
2816,English Language and Composition AP,11,87.13,English,0
2817,Studio Art 3-D Design AP,11,96.83,Arts,1
2818,French IV,11,86.41,Foreign Language,2
2819,Pre-Calculus,11,90.48,Math,0
2820,Marine Science Honors,11,91.49,Science,0
2821,Government and Politics: United States AP,11,88.36,Humanities,0
2822,International Relations Honors,11,95.58,Law and Politics,1
2823,English Language and Composition AP,11,91.11,English,0
2824,Art History AP,11,94.29,Humanities,1
2825,Chinese IV,11,92.03,Foreign Language,0
2826,Pre-Calculus,11,82.25,Math,2
2827,Marine Science Honors,11,91.47,Science,0
2828,European History AP,11,88.54,Humanities,0
2829,English Language and Composition AP,11,90.41,English,0
2830,Chinese IV,11,90.1,Foreign Language,0
2831,Pre-Calculus Honors,11,78.23,Math,2
2832,Environmental Science AP,11,90.16,Science,0
2833,Marine Science Honors,11,94.35,Science,1
2834,European History AP,11,89.77,Humanities,0
2835,Government and Politics: United States AP,11,91.15,Humanities,0
2836,English Language and Composition AP,11,93.05,English,0
2837,Spanish V Honors,11,96.79,Foreign Language,1
2838,Pre-Calculus Honors,11,89.98,Math,0
2839,Computer Science Principles AP,11,96.79,Science,1
2840,Environmental Science AP,11,95.31,Science,1
2841,World History AP,11,97.55,Humanities,1
2842,AP Seminar (Capstone Year 1),11,89.0,Research,0
2843,English Literature and Composition AP,11,96.28,English,1
2844,Latin III Honors,11,98.14,Foreign Language,1
2845,Calculus AB AP,11,95.16,Math,1
2846,Biology AP,11,97.2,Science,1
2847,AP Seminar (Capstone Year 1),11,97.5,Research,1
2848,Social Entrepreneurship II Advanced,11,98.04,Entrepreneurship,1
2849,English Language and Composition AP,11,95.08,English,1
2850,Chinese IV Honors,11,97.66,Foreign Language,1
2851,Calculus BC AP,11,96.68,Math,1
2852,Data Structures Post-AP,11,97.0,Computer Science,1
2853,Chemistry AP,11,98.38,Science,1
2854,European History AP,11,93.55,Humanities,1
2855,English Literature and Composition AP,11,96.05,English,1
2856,Chinese IV Honors,11,90.52,Foreign Language,0
2857,Calculus AB AP,11,89.48,Math,0
2858,Chemistry AP,11,90.7,Science,0
2859,Environmental Science AP,11,92.16,Science,0
2860,European History AP,11,90.76,Humanities,0
2861,Government and Politics: United States AP,11,93.73,Humanities,1
2862,English Language and Composition AP,11,93.08,English,0
2863,Talented Writers Program I Honors,11,89.11,English,0
2864,Spanish Literature and Culture AP,11,87.77,Foreign Language,0
2865,Pre-Calculus,11,89.69,Math,0
2866,Marine Science Honors,11,94.09,Science,1
2867,Government and Politics: United States AP,11,82.39,Humanities,2
2868,English Literature and Composition AP,11,95.94,English,1
2869,Art History AP,11,99.07,Humanities,1
2870,Spanish III Honors,11,93.5,Foreign Language,1
2871,Calculus AB AP,11,93.3,Math,0
2872,Biology AP,11,95.64,Science,1
2873,Astronomy Honors,11,96.13,Science,1
2874,European History AP,11,96.34,Humanities,1
2875,English Language and Composition AP,11,84.19,English,2
2876,Studio Art 3-D Design AP,11,82.2,Arts,2
2877,Spanish IV,11,83.54,Foreign Language,2
2878,Pre-Calculus,11,84.97,Math,2
2879,Marine Science Honors,11,90.19,Science,0
2880,Psychology AP,11,75.75,Psychology,2
2881,English Literature and Composition AP,11,93.48,English,1
2882,Chinese IV Honors,11,93.21,Foreign Language,0
2883,Pre-Calculus,11,96.5,Math,1
2884,Biology AP,11,90.72,Science,0
2885,European History AP,11,95.31,Humanities,1
2886,English Language and Composition AP,11,93.51,English,1
2887,Studio Art 2-D Design AP,11,93.87,Arts,1
2888,Spanish IV,11,93.88,Foreign Language,1
2889,Pre-Calculus Honors,11,95.03,Math,1
2890,Environmental Science AP,11,91.43,Science,0
2891,Government and Politics: United States AP,11,93.3,Humanities,0
2892,English Language and Composition AP,11,88.96,English,0
2893,Spanish IV,11,95.01,Foreign Language,1
2894,Pre-Calculus Honors,11,81.18,Math,2
2895,Environmental Science AP,11,89.48,Science,0
2896,Psychology AP,11,89.19,Psychology,0
2897,European History AP,11,91.38,Humanities,0
2898,English Literature and Composition AP,11,91.63,English,0
2899,Spanish IV Honors,11,98.38,Foreign Language,1
2900,Calculus BC AP,11,94.72,Math,1
2901,Data Structures Post-AP,11,95.95,Computer Science,1
2902,Physics I AP,11,93.07,Science,0
2903,Environmental Science AP,11,95.48,Science,1
2904,Microeconomics AP,11,94.2,Humanities,1
2905,English Literature and Composition AP,11,89.82,English,0
2906,Spanish Language and Culture AP (for Heritage Speakers),11,96.94,Foreign Language,1
2907,Calculus AB AP,11,91.15,Math,0
2908,Biology AP,11,87.61,Science,0
2909,Environmental Science AP,11,92.85,Science,0
2910,Psychology AP,11,92.83,Psychology,0
2911,English Literature and Composition AP,11,94.85,English,1
2912,French IV Honors,11,94.69,Foreign Language,1
2913,Calculus AB AP,11,93.99,Math,1
2914,Biology AP,11,91.75,Science,0
2915,AP Seminar (Capstone Year 1),11,96.11,Research,1
2916,Psychology Research and Applications Post-AP,11,100.0,Psychology,1
2917,English Literature and Composition AP,11,94.54,English,1
2918,French IV Honors,11,95.09,Foreign Language,1
2919,Pre-Calculus,11,93.7,Math,1
2920,Environmental Science AP,11,91.16,Science,0
2921,Psychology AP,11,91.14,Psychology,0
2922,European History AP,11,93.91,Humanities,1
2923,Social Entrepreneurship II Advanced,11,94.65,Entrepreneurship,1
2924,English Literature and Composition AP,11,93.46,English,1
2925,Chinese IV Honors,11,93.52,Foreign Language,1
2926,Calculus AB AP,11,94.46,Math,1
2927,Computer Science A AP,11,94.79,Science,1
2928,Biology AP,11,98.9,Science,1
2929,Government and Politics: United States AP,11,96.35,Humanities,1
2930,Social Entrepreneurship II Advanced,11,95.96,Entrepreneurship,1
2931,English Literature and Composition AP,11,93.03,English,0
2932,Spanish III Honors,11,93.95,Foreign Language,1
2933,Calculus AB AP,11,91.01,Math,0
2934,Chemistry AP,11,89.17,Science,0
2935,Environmental Science AP,11,95.07,Science,1
2936,AP Seminar (Capstone Year 1),11,88.66,Research,0
2937,English Language and Composition AP,11,90.66,English,0
2938,Studio Art 2-D Design AP,11,93.61,Arts,1
2939,French IV,11,83.16,Foreign Language,2
2940,Pre-Calculus Honors,11,85.51,Math,2
2941,Environmental Science AP,11,90.08,Science,0
2942,United States History AP,11,91.2,Humanities,0
2943,English Literature and Composition AP,11,88.94,English,0
2944,Chinese IV Honors,11,90.11,Foreign Language,0
2945,Pre-Calculus,11,89.71,Math,0
2946,Environmental Science AP,11,88.07,Science,0
2947,Psychology AP,11,86.29,Psychology,2
2948,AP Seminar (Capstone Year 1),11,89.91,Research,0
2949,Social Entrepreneurship II Advanced,11,94.95,Entrepreneurship,1
2950,English Literature and Composition AP,11,85.41,English,2
2951,French IV Honors,11,82.24,Foreign Language,2
2952,Pre-Calculus,11,86.51,Math,2
2953,Environmental Science AP,11,83.89,Science,2
2954,European History AP,11,86.84,Humanities,0
2955,Social Entrepreneurship II Advanced,11,94.11,Entrepreneurship,1
2956,English Language and Composition AP,11,89.53,English,0
2957,Spanish IV,11,90.52,Foreign Language,0
2958,Pre-Calculus Honors,11,89.54,Math,0
2959,Marine Science Honors,11,88.84,Science,0
2960,Psychology AP,11,87.19,Psychology,0
2961,English Literature and Composition AP,11,96.1,English,1
2962,Studio Art Drawing AP,11,97.17,Arts,1
2963,Latin III Honors,11,97.17,Foreign Language,1
2964,Calculus BC AP,11,96.82,Math,1
2965,Biology AP,11,96.75,Science,1
2966,Organic Chemistry Post-AP,11,99.01,Science,1
2967,Science Research II Advanced,11,97.0,Science,1
2968,European History AP,11,98.75,Humanities,1
2969,English Literature and Composition AP,11,91.53,English,0
2970,Spanish IV,11,89.06,Foreign Language,0
2971,Pre-Calculus Honors,11,79.73,Math,2
2972,Environmental Science AP,11,91.87,Science,0
2973,European History AP,11,93.76,Humanities,1
2974,Government and Politics: United States AP,11,90.46,Humanities,0
2975,English Literature and Composition AP,11,95.94,English,1
2976,Spanish Literature and Culture AP,11,92.17,Foreign Language,0
2977,Calculus AB AP,11,89.37,Math,0
2978,Biology AP,11,92.97,Science,0
2979,Science Research II Advanced,11,97.0,Science,1
2980,Psychology AP,11,92.91,Psychology,0
2981,European History AP,11,97.41,Humanities,1
2982,English Language and Composition AP,11,86.98,English,0
2983,Studio Art 3-D Design AP,11,94.51,Arts,1
2984,Art History AP,11,88.6,Humanities,0
2985,Spanish III,11,92.63,Foreign Language,0
2986,Pre-Calculus,11,79.55,Math,2
2987,Marine Science Honors,11,89.78,Science,0
2988,English Language and Composition AP,11,92.66,English,0
2989,Studio Art 3-D Design AP,11,96.34,Arts,1
2990,Latin III Honors,11,94.88,Foreign Language,1
2991,Pre-Calculus,11,94.25,Math,1
2992,Astronomy Honors,11,93.82,Science,1
2993,Psychology AP,11,92.6,Psychology,0
2994,Government and Politics: United States AP,11,94.55,Humanities,1
2995,English Literature and Composition AP,11,93.4,English,1
2996,Chinese IV Honors,11,88.2,Foreign Language,0
2997,Pre-Calculus Honors,11,75.99,Math,2
2998,Environmental Science AP,11,91.58,Science,0
2999,Government and Politics: United States AP,11,91.32,Humanities,0
3000,AP Seminar (Capstone Year 1),11,88.92,Research,0
3001,Social Entrepreneurship II Advanced,11,98.11,Entrepreneurship,1
3002,English Language and Composition AP,11,91.61,English,0
3003,Studio Art Drawing AP,11,96.3,Arts,1
3004,Art History AP,11,97.57,Humanities,1
3005,Spanish Literature and Culture AP,11,86.06,Foreign Language,2
3006,Pre-Calculus,11,75.94,Math,2
3007,Anatomy and Physiology Honors,11,93.23,Science,0
3008,English Literature and Composition AP,11,95.7,English,1
3009,Studio Art 3-D Design AP,11,95.98,Arts,1
3010,French IV Honors,11,91.91,Foreign Language,0
3011,Calculus AB AP,11,93.7,Math,1
3012,Environmental Science AP,11,95.34,Science,1
3013,European History AP,11,95.9,Humanities,1
3014,Government and Politics: United States AP,11,94.39,Humanities,1
3015,English Language and Composition AP,11,89.75,English,0
3016,Spanish IV,11,86.86,Foreign Language,0
3017,Pre-Calculus,11,89.95,Math,0
3018,Marine Science Honors,11,90.68,Science,0
3019,Psychology AP,11,79.98,Psychology,2
3020,International Relations Honors,11,87.44,Law and Politics,0
3021,English Language and Composition AP,11,94.26,English,1
3022,Spanish IV Honors,11,97.94,Foreign Language,1
3023,Calculus AB AP,11,90.1,Math,0
3024,Marine Science Honors,11,93.1,Science,0
3025,Astronomy Honors,11,94.83,Science,1
3026,European History AP,11,90.1,Humanities,0
3027,English Literature and Composition AP,11,90.62,English,0
3028,Spanish IV Honors,11,97.69,Foreign Language,1
3029,Pre-Calculus,11,96.68,Math,1
3030,Environmental Science AP,11,87.86,Science,0
3031,Psychology AP,11,88.17,Psychology,0
3032,English Literature and Composition AP,11,93.5,English,1
3033,Spanish IV Honors,11,99.07,Foreign Language,1
3034,Calculus BC AP,11,98.33,Math,1
3035,Computer Science A AP,11,94.48,Science,1
3036,Chemistry AP,11,97.09,Science,1
3037,European History AP,11,97.09,Humanities,1
3038,Microeconomics AP,11,96.56,Humanities,1
3039,English Literature and Composition AP,11,87.61,English,0
3040,Studio Art 3-D Design AP,11,96.83,Arts,1
3041,Spanish III,11,90.95,Foreign Language,0
3042,Pre-Calculus,11,88.15,Math,0
3043,Marine Science Honors,11,92.43,Science,0
3044,European History AP,11,89.55,Humanities,0
3045,English Literature and Composition AP,11,89.86,English,0
3046,Spanish III,11,90.69,Foreign Language,0
3047,Pre-Calculus,11,85.01,Math,2
3048,Marine Science Honors,11,86.18,Science,2
3049,Psychology AP,11,82.88,Psychology,2
3050,Government and Politics: United States AP,11,92.18,Humanities,0
3051,English Literature and Composition AP,11,92.14,English,0
3052,Studio Art 3-D Design AP,11,96.71,Arts,1
3053,Spanish IV,11,92.08,Foreign Language,0
3054,Pre-Calculus Honors,11,79.4,Math,2
3055,Computer Science Principles AP,11,91.51,Science,0
3056,Environmental Science AP,11,88.67,Science,0
3057,European History AP,11,92.58,Humanities,0
3058,English Literature and Composition AP,11,94.13,English,1
3059,Chinese IV Honors,11,97.12,Foreign Language,1
3060,Calculus AB AP,11,92.35,Math,0
3061,Biology AP,11,97.81,Science,1
3062,European History AP,11,99.05,Humanities,1
3063,Government and Politics: United States AP,11,97.22,Humanities,1
3064,English Language and Composition AP,11,86.13,English,2
3065,Spanish III,11,93.44,Foreign Language,1
3066,Pre-Calculus,11,93.17,Math,0
3067,Marine Science Honors,11,95.97,Science,1
3068,Psychology AP,11,83.68,Psychology,2
3069,Constitutional Law Honors,11,97.42,Law and Politics,1
3070,English Language and Composition AP,11,89.45,English,0
3071,Spanish IV Honors,11,90.06,Foreign Language,0
3072,Pre-Calculus Honors,11,87.16,Math,0
3073,Environmental Science AP,11,88.07,Science,0
3074,Psychology AP,11,89.09,Psychology,0
3075,European History AP,11,89.65,Humanities,0
3076,English Language and Composition AP,11,89.48,English,0
3077,Spanish IV,11,89.34,Foreign Language,0
3078,Pre-Calculus,11,95.76,Math,1
3079,Data Structures Post-AP,11,88.12,Computer Science,0
3080,Physics I AP,11,82.03,Science,2
3081,Government and Politics: United States AP,11,84.28,Humanities,2
3082,English Literature and Composition AP,11,91.53,English,0
3083,Spanish IV,11,94.82,Foreign Language,1
3084,Pre-Calculus Honors,11,89.47,Math,0
3085,Environmental Science AP,11,95.93,Science,1
3086,Psychology AP,11,91.14,Psychology,0
3087,Social Entrepreneurship II Advanced,11,96.76,Entrepreneurship,1
3088,English Literature and Composition AP,11,94.75,English,1
3089,Spanish IV Honors,11,99.07,Foreign Language,1
3090,Calculus AB AP,11,91.3,Math,0
3091,Biology AP,11,97.23,Science,1
3092,Anatomy and Physiology Honors,11,98.33,Science,1
3093,European History AP,11,95.67,Humanities,1
3094,English Language and Composition AP,11,89.24,English,0
3095,French IV,11,82.1,Foreign Language,2
3096,Pre-Calculus,11,90.11,Math,0
3097,Computer Science Principles AP,11,89.58,Science,0
3098,Astronomy Honors,11,91.6,Science,0
3099,European History AP,11,86.33,Humanities,2
3100,English Literature and Composition AP,11,93.09,English,0
3101,Spanish IV Honors,11,98.92,Foreign Language,1
3102,Statistics AP,11,96.09,Math,1
3103,Calculus BC AP,11,99.33,Math,1
3104,Biology AP,11,94.91,Science,1
3105,Microeconomics AP,11,97.68,Humanities,1
3106,English Language and Composition AP,11,89.5,English,0
3107,Latin III Honors,11,93.92,Foreign Language,1
3108,Pre-Calculus,11,91.72,Math,0
3109,Marine Science Honors,11,91.53,Science,0
3110,Psychology AP,11,85.98,Psychology,2
3111,European History AP,11,89.53,Humanities,0
3112,English Literature and Composition AP,11,92.19,English,0
3113,Spanish IV Honors,11,97.61,Foreign Language,1
3114,Pre-Calculus Honors,11,90.09,Math,0
3115,Computer Science A AP,11,90.01,Science,0
3116,Environmental Science AP,11,94.57,Science,1
3117,Psychology AP,11,90.42,Psychology,0
3118,English Literature and Composition AP,11,92.91,English,0
3119,French IV Honors,11,90.96,Foreign Language,0
3120,Calculus AB AP,11,95.64,Math,1
3121,Computer Science Principles AP,11,97.48,Science,1
3122,Chemistry AP,11,94.46,Science,1
3123,Environmental Science AP,11,94.69,Science,1
3124,European History AP,11,93.29,Humanities,0
3125,English Language and Composition AP,11,88.62,English,0
3126,Spanish IV,11,90.08,Foreign Language,0
3127,Pre-Calculus Honors,11,83.01,Math,2
3128,Marine Science Honors,11,94.69,Science,1
3129,European History AP,11,86.64,Humanities,2
3130,Government and Politics: United States AP,11,88.54,Humanities,0
3131,English Language and Composition AP,11,89.46,English,0
3132,Spanish IV,11,87.86,Foreign Language,0
3133,Pre-Calculus,11,98.73,Math,1
3134,Computer Science A AP,11,82.66,Science,2
3135,Marine Science Honors,11,94.62,Science,1
3136,Government and Politics: United States AP,11,81.45,Humanities,2
3137,English Language and Composition AP,11,92.46,English,0
3138,Latin III Honors,11,84.72,Foreign Language,2
3139,Pre-Calculus,11,81.69,Math,2
3140,Marine Science Honors,11,79.3,Science,2
3141,Government and Politics: United States AP,11,78.55,Humanities,2
3142,English Literature and Composition AP,11,93.78,English,1
3143,Spanish IV Honors,11,97.43,Foreign Language,1
3144,Pre-Calculus Honors,11,92.49,Math,0
3145,Biology AP,11,93.94,Science,1
3146,European History AP,11,96.55,Humanities,1
3147,Government and Politics: United States AP,11,91.96,Humanities,0
3148,English Literature and Composition AP,11,96.89,English,1
3149,Chinese IV Honors,11,97.08,Foreign Language,1
3150,Calculus BC AP,11,98.85,Math,1
3151,Data Structures Post-AP,11,98.35,Computer Science,1
3152,Biology AP,11,98.58,Science,1
3153,Organic Chemistry Post-AP,11,98.77,Science,1
3154,Science Research II Advanced,11,98.0,Science,1
3155,Microeconomics AP,11,98.25,Humanities,1
3156,English Literature and Composition AP,11,92.58,English,0
3157,Studio Art 2-D Design AP,11,97.09,Arts,1
3158,Spanish IV,11,89.61,Foreign Language,0
3159,Pre-Calculus,11,97.48,Math,1
3160,Environmental Science AP,11,89.86,Science,0
3161,Anatomy and Physiology Honors,11,98.26,Science,1
3162,Psychology AP,11,88.53,Psychology,0
3163,English Language and Composition AP,11,91.34,English,0
3164,Spanish Literature and Culture AP,11,88.68,Foreign Language,0
3165,Pre-Calculus Honors,11,85.28,Math,2
3166,Chemistry AP,11,92.7,Science,0
3167,Anatomy and Physiology Honors,11,97.41,Science,1
3168,European History AP,11,94.42,Humanities,1
3169,English Literature and Composition AP,11,90.65,English,0
3170,Spanish IV Honors,11,97.53,Foreign Language,1
3171,Calculus AB AP,11,87.31,Math,0
3172,Biology AP,11,89.55,Science,0
3173,European History AP,11,91.49,Humanities,0
3174,AP Seminar (Capstone Year 1),11,90.46,Research,0
3175,English Language and Composition AP,11,84.65,English,2
3176,Studio Art 3-D Design AP,11,93.78,Arts,1
3177,Spanish IV,11,90.19,Foreign Language,0
3178,Pre-Calculus,11,84.09,Math,2
3179,Anatomy and Physiology Honors,11,84.09,Science,2
3180,United States History Honors,11,88.97,Humanities,0
3181,Psychology AP,11,82.9,Psychology,2
3182,English Literature and Composition AP,11,94.08,English,1
3183,Spanish IV,11,92.59,Foreign Language,0
3184,Calculus I Honors,11,96.33,Math,1
3185,Environmental Science AP,11,92.96,Science,0
3186,Psychology AP,11,92.7,Psychology,0
3187,European History AP,11,94.0,Humanities,1
3188,AP Seminar (Capstone Year 1),11,90.79,Research,0
3189,English Literature and Composition AP,11,99.71,English,1
3190,Chinese IV Honors,11,97.92,Foreign Language,1
3191,Calculus BC AP,11,98.13,Math,1
3192,Data Structures Post-AP,11,98.05,Computer Science,1
3193,Biology AP,11,97.38,Science,1
3194,Science Research II Advanced,11,98.0,Science,1
3195,European History AP,11,98.52,Humanities,1
3196,English Language and Composition AP,11,90.59,English,0
3197,Art History AP,11,90.87,Humanities,0
3198,Spanish Literature and Culture AP,11,81.46,Foreign Language,2
